Carrefour City Paris Vinaigriers ; 0140340502 ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour City Paris Flandre 44 ; 0952645181 ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour City Conflans Ste Honorine 27 ;  ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour City Saint Maur Des Fossés République ; 0142830520 ; lundi07h00-22h00 ; dimanche08h00-20h00
Carrefour City Maisons Laffitte ; 0139148160 ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour City Boulogne Edouard Vaillant ;  ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour City Paris Niepce ; 0140475341 ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour City Puteaux Cnit-2 La Défense ;  ; lundi07h00-21h00 ; dimanche09h00-13h00
Carrefour City Le Raincy Montfermeil ; 0143029007 ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour City Paris Beaumarchais 5 ;  ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour City Le Chesnay Versailles ; 0130214540 ; lundi07h00-20h45 ; dimanche09h00-13h00
Carrefour City La Garenne Colombes République ; 0147840896 ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour City Chatenay Malabry ; 0146601525 ; lundi07h00-22h00 ; dimanche08h30-13h00
Carrefour City Paris Convention 122 ; 0140601140 ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour City Paris Chauvelot ; 0145302822 ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour City Colombes Edgar Quinet ; 0142427960 ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour City Suresnes ; 0145065233 ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour City Chatenay Malabry Division Leclerc ;  ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour City Boulogne Lovedis ; 0146053628 ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour City Paris Monge ; 0140467047 ; lundi07h00-23h00 ; dimanche09h00-13h00
Carrefour City Paris Saint Martin ;  ; lundi07h00-22h00 ; dimanche09h00-20h00
Carrefour City Paris Saint Dominique ; 0140629210 ; lundi07h00-23h00 ; dimanche09h00-13h00
Carrefour City Rueil Malmaison Eglise ; 0157693308 ; lundi08h00-21h00 ; dimanche09h00-13h00
Carrefour City Joinville Le Pont ; 0148898194 ; lundi07h00-21h00 ; dimanche09h00-12h45
Carrefour City Fontainebleau République ; 0160726576 ; lundi07h00-21h00 ; dimanche08h00-12h45
Carrefour City Aulnay-Sous-Bois-Anatole-France ;  ; lundi07h00-21h00 ; dimanche09h00-13h00
Carrefour City Issy Les Moulineaux Renan ; 0146426030 ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour City Bois Colombes ; 0967080067 ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour City Paris Belleville 88 ; 0143665086 ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour City Paris Saint Emilion ; 0971374866 ; lundi08h00-22h00 ; dimanche09h00-13h00