Carrefour Express Paris République 59 ; 0143383462 ; lundi08h00-22h00 ; dimanche09h00-13h00
Carrefour Express Saint Mard 12 ;  ; lundi07h00-21h00 ; dimanche09h00-13h00
Carrefour Express Paris Didot ; 0145408848 ; lundi08h00-22h00 ; dimanche09h00-13h00
Carrefour Express Bp Puteaux ; 0147765032 ; lundi06h00-23h59 ; dimanche07h00-13h00
Carrefour Express Malakoff ; 0146557923 ; lundi08h00-21h00 ; dimanche09h00-13h00
Carrefour Express Le Chesnay ; 0139542306 ; lundi06h00-22h00 ; dimanche07h00-13h00
Carrefour Express Marcoussis ;  ; lundi08h00-21h00 ; dimanche09h00-13h00
Carrefour Express Paris Rendez-Vous ; 0153823961 ; lundi08h00-22h00 ; dimanche09h00-13h00
Carrefour Express Vanves ; 0155959223 ; lundi08h00-22h00 ; dimanche09h00-13h00
Carrefour Express Houdan ; 0130596113 ; lundi08h00-20h00 ; dimanche09h00-13h00
Carrefour Express Nangis Général Leclerc 29 ; 0978804192 ; lundi07h00-21h00 ; dimanche09h00-13h00
Carrefour Express Paris Batignolles ; 0143871883 ; lundi08h00-22h00 ; dimanche09h00-13h00
Carrefour Express Paris Rambuteau ; 0144760936 ; lundi08h00-22h00 ; dimanche09h00-13h00
Carrefour Express Paris Picpus ;  ; lundi08h00-22h00 ; dimanche09h00-13h00
Carrefour Express Paris Geoffroy Saint Hilaire 22 ; 0145356193 ; lundi07h30-21h00 ; dimanche09h00-13h00
Carrefour Express Chevreuse ; 0130051982 ; lundi08h00-21h00 ; dimanche09h00-13h3015h30-18h00
Carrefour Express Paris Peupliers 33 ; 0155323823 ; lundi08h00-21h00 ; dimanche09h00-13h00
Carrefour Express Paris Voltaire ; 0171202492 ; lundi07h00-22h00 ; dimanche09h00-13h00
Carrefour Express Bp Saint Cloud ; 0146025302 ; lundi06h00-22h00 ; dimanche06h00-13h00
Carrefour Express La Garenne Colombes ; 0187376967 ; lundi08h00-21h00 ; dimanche09h00-13h00
Carrefour Express Paris Alésia ; 0183899317 ; lundi08h00-23h00 ; dimanche09h00-13h00
Carrefour Express Paris Orsel ; 0146060216 ; lundi08h00-22h00 ; dimanche09h00-13h00
Carrefour Express Paris Saint Jacques ; 0950037064 ; lundi08h00-22h00 ; dimanche09h00-13h00
Carrefour Express Versailles Montreuil ; 0139507964 ; lundi08h00-21h00 ; dimanche09h00-13h00
Carrefour Express Versailles Chantiers ; 0139670282 ; lundi06h30-22h00 ; dimancheFermé
Carrefour Express Paris Pyrénées 385 ; 0140305862 ; lundi08h00-22h00 ; dimanche09h00-13h00
Carrefour Express Paris Michel Ange ; 0156070711 ; lundi08h00-22h00 ; dimanche09h00-13h00
Carrefour Express Neuilly Bagatelle ; 0141431616 ; lundi08h00-21h00 ; dimanche09h00-13h00
Carrefour Express Paris Montmartre 7 ; 0140204604 ; lundi08h00-22h00 ; dimanche09h00-13h00
Carrefour Express Athis Mons ; 0169570676 ; lundi08h00-20h00 ; dimanche09h00-12h30